revision,price_usd,zona,created_at_first,created_at,days_old,number_of_bedrooms,number_of_bathrooms,m2,latitude,longitude
5,218000,Zona 4 de Mixco,4/6/20,4/6/20,0.00,3.00,2.00,194.00,14.657,-90.556
18,189500,Zona 16,4/6/20,4/27/20,21.00,2.00,2.00,135.00,14.618,-90.471
9,310000,Zona 10,1/6/20,4/6/20,91.00,2.00,2.00,220.00,14.591,-90.503
4,97403,Zona 17,4/6/20,4/6/20,0.00,6.00,3.00,300.00,14.643,-90.466
5,220000,Zona 7,4/6/20,4/6/20,0.00,3.00,2.00,235.00,14.645,-90.538
5,1325000,Zona 5,4/5/20,4/5/20,0.00,5.00,5.00,876.00,14.618,-90.485
5,450000,Zona 10,4/5/20,4/5/20,0.00,2.00,2.00,145.00,14.591,-90.502
21,123377,Zona 4,12/13/19,4/4/20,113.00,3.00,3.00,170.00,14.619,-90.51
5,123377,Zona 5,4/4/20,4/4/20,0.00,3.00,3.00,150.00,14.624,-90.499
17,155844,Zona 2,12/6/19,4/4/20,120.00,3.00,2.00,138.00,14.659,-90.509
5,90909,Zona 1,3/31/20,3/31/20,0.00,3.00,2.00,25.00,14.636,-90.51
6,97403,Zona 11 de Mixco,3/31/20,3/31/20,0.00,8.00,7.00,315.00,14.681,-90.537
17,485000,Zona 9,11/12/19,3/31/20,140.00,4.00,4.00,400.00,14.602,-90.536
17,1200000,Zona 9,8/30/19,3/31/20,214.00,6.00,6.00,400.00,14.605,-90.53
